glac,month,prev_mean_elev_m,onset_mean_elev_m
5878,5,1604.578947368421,1490.5333333333333
5880,5,1893.2631578947369,1819.4333333333334
5904,5,2122.3684210526317,2065.133333333333
5944,5,2051.0,2089.9333333333334
5950,5,1772.6315789473683,1692.0333333333333
5955,5,2106.6315789473683,2047.9333333333334
5962,5,1968.3157894736842,1924.8666666666666
5964,5,1946.578947368421,1906.2333333333333
5965,5,1885.0,1800.2
5970,5,1852.0,1784.9333333333334
5972,5,1816.842105263158,1660.4666666666667
5974,5,1844.7894736842106,1783.3666666666666
5979,5,1805.2631578947369,1753.8
5981,5,1566.7894736842106,1470.0666666666666
5986,5,1754.3157894736842,1741.4
5999,5,2050.7894736842104,2030.2
6001,5,2793.2105263157896,2842.5666666666666
6009,5,1873.421052631579,1819.3666666666666
6016,5,2024.8947368421052,1921.5
6023,5,1916.1052631578948,1873.1333333333334
6025,5,2017.1052631578948,1983.8
6026,5,2039.5263157894738,2010.0
6029,5,2153.1052631578946,2133.6
6031,5,1767.6315789473683,1582.2
6043,5,1786.0526315789473,1665.3
6047,5,1957.9473684210527,1817.6666666666667
6052,5,2009.2105263157894,1787.1333333333334
6053,5,2059.7894736842104,1972.6666666666667
6058,5,1918.5263157894738,1657.0
6063,5,1955.7894736842106,1807.8333333333333
6064,5,1767.5263157894738,1569.1
6069,5,1811.3157894736842,1746.0666666666666
6114,5,1872.157894736842,1717.4
6117,5,2211.4210526315787,2074.9666666666667
6120,5,2310.1052631578946,2298.733333333333
6121,5,2168.7894736842104,2138.7
6126,5,2005.157894736842,1975.2666666666667
6128,5,1987.421052631579,1963.4
6135,5,1875.8947368421052,1844.5
6137,5,1897.0526315789473,1862.9
6148,5,1921.0,1892.6
6218,5,1809.5263157894738,1759.0333333333333
6246,5,1753.6315789473683,1629.8333333333333
6255,5,1983.578947368421,1722.4666666666667
6257,5,1936.5263157894738,1857.2
6259,5,1998.7368421052631,1875.9666666666667
6302,5,1970.4736842105262,1917.4
6352,5,1809.421052631579,1807.7666666666667
6353,5,1872.7894736842106,1739.1666666666667
6360,5,1742.842105263158,1629.4666666666667
6369,5,1911.2631578947369,1711.6
9741,5,1526.1052631578948,1423.1
11734,5,1483.578947368421,1339.6
11755,5,1697.2105263157894,1583.4
11761,5,1596.2631578947369,1512.9666666666667
11766,5,1514.1052631578948,1359.2333333333333
11767,5,1576.8947368421052,1498.5333333333333
11796,5,1530.842105263158,1395.2333333333333
11800,5,1506.6315789473683,1398.4666666666667
11812,5,1496.157894736842,1367.7
11822,5,1582.8947368421052,1387.2333333333333
11926,5,1444.4736842105262,1339.6666666666667
11927,5,1450.6842105263158,1391.5
11937,5,1620.421052631579,1496.7333333333333
11940,5,1649.0,1532.2333333333333
11946,5,1587.0,1484.5
11947,5,1637.0526315789473,1468.1
11952,5,1510.5263157894738,1316.9666666666667
11955,5,1461.5263157894738,1368.5666666666666
11968,5,1605.157894736842,1529.5
11977,5,1520.5263157894738,1431.6
11989,5,1500.4736842105262,1409.3
12002,5,1544.157894736842,1473.1333333333334
12010,5,1571.7894736842106,1510.1
12027,5,1633.0,1566.1333333333334
12030,5,1561.3684210526317,1471.1
12036,5,1599.0526315789473,1507.5666666666666
12074,5,1687.2631578947369,1619.9333333333334
12078,5,1638.4736842105262,1558.4666666666667
12086,5,1509.2631578947369,1426.0666666666666
12092,5,1463.2631578947369,1350.5
12114,5,1593.7894736842106,1523.4
12121,5,1560.0526315789473,1468.0
12125,5,1551.0526315789473,1488.8
12145,5,1621.578947368421,1524.8333333333333
12178,5,1676.1052631578948,1618.3
12200,5,1748.3157894736842,1647.7666666666667
12209,5,1699.2105263157894,1600.9666666666667
12291,5,1622.578947368421,1568.3666666666666
12307,5,1660.8947368421052,1590.5333333333333
12311,5,1631.157894736842,1542.7
12610,5,1560.6842105263158,1367.9666666666667
12614,5,1587.157894736842,1485.2333333333333
12615,5,1528.2105263157894,1450.3
12617,5,1565.3157894736842,1446.1333333333334
12626,5,1579.421052631579,1478.2666666666667
12800,5,1565.9473684210527,1496.0333333333333
12807,5,1671.2105263157894,1636.2
12842,5,1630.2631578947369,1579.8666666666666
12849,5,1856.2105263157894,1758.5666666666666
12885,5,1676.5263157894738,1588.5666666666666
12905,5,1668.2105263157894,1544.6
12957,5,2037.4736842105262,1904.1
12963,5,1722.6842105263158,1643.0333333333333
12968,5,1716.9473684210527,1655.1
12975,5,1824.842105263158,1750.5
12980,5,1816.3157894736842,1758.2333333333333
12984,5,1798.6842105263158,1727.3
12985,5,1831.842105263158,1778.5666666666666
12987,5,1857.3684210526317,1811.8
13006,5,1758.1052631578948,1705.5666666666666
13054,5,1867.6842105263158,1796.7333333333333
13058,5,1945.421052631579,1898.6666666666667
13060,5,1914.157894736842,1849.4
13067,5,2007.3684210526317,1958.1333333333334
13075,5,2000.5263157894738,1946.6
13080,5,1971.5263157894738,1905.7333333333333
13089,5,1808.0526315789473,1675.6
13124,5,2007.5263157894738,1934.6666666666667
13646,5,1894.3684210526317,1811.7333333333333
13651,5,1802.421052631579,1652.4
13652,5,1708.842105263158,1640.8666666666666
13661,5,1940.578947368421,1832.4333333333334
13665,5,1966.3684210526317,1918.6
13695,5,1946.2631578947369,1864.9
13869,5,2045.157894736842,1939.3333333333333
13885,5,1974.0526315789473,1882.9
13891,5,2080.4210526315787,1991.4333333333334
13897,5,2134.7894736842104,2064.5
13959,5,2255.0526315789475,2159.3333333333335
13983,5,1805.5263157894738,1764.6
14024,5,1676.3684210526317,1598.6333333333334
14060,5,1733.157894736842,1672.3333333333333
14076,5,1607.8947368421052,1473.1
14080,5,1692.578947368421,1538.1333333333334
14101,5,1876.8947368421052,1834.7
14105,5,2072.2105263157896,2066.3333333333335
14117,5,1843.842105263158,1812.7
14119,5,1852.2105263157894,1801.8
14126,5,1976.8947368421052,1932.6
14137,5,1854.3157894736842,1796.7333333333333
14180,5,1578.578947368421,1510.9
14183,5,1801.578947368421,1736.8666666666666
14203,5,1754.421052631579,1670.7666666666667
14218,5,1694.421052631579,1648.5
14219,5,1969.0,1935.4333333333334
16312,5,2039.9473684210527,2008.6666666666667
16314,5,1879.2105263157894,1848.8666666666666
16327,5,2097.4736842105262,1993.1666666666667
16332,5,1966.4736842105262,1907.5333333333333
16341,5,2074.9473684210525,1986.5
16346,5,2130.5789473684213,2017.5666666666666
16351,5,2070.157894736842,1807.0
16372,5,2095.4210526315787,2028.5666666666666
16379,5,1994.7368421052631,1917.7
16406,5,2746.8947368421054,2799.9333333333334
16437,5,1523.0,1443.7666666666667
16444,5,1983.578947368421,1922.6
16457,5,1723.2631578947369,1632.1
16463,5,1797.421052631579,1725.4666666666667
16485,5,2236.157894736842,2194.866666666667
16486,5,2059.5789473684213,2032.7333333333333
16515,5,1019.3157894736842,1045.7272727272727
16532,5,1977.6315789473683,1939.5333333333333
16534,5,1937.157894736842,1890.6
16535,5,2058.842105263158,2022.3
16536,5,1911.6315789473683,1871.5666666666666
16537,5,1938.6842105263158,1898.1
16540,5,1833.3684210526317,1788.7666666666667
16545,5,1987.9473684210527,1944.7
16554,5,2022.3157894736842,1989.4666666666667
16556,5,1775.421052631579,1735.0333333333333
16569,5,1977.2105263157894,1929.1333333333334
16618,5,1637.3684210526317,1611.6
16657,5,1770.9473684210527,1692.8
5500,6,2559.7,2564.25
5509,6,2384.8,2394.4583333333335
5514,6,2564.0,2576.3333333333335
5525,6,2650.5,2640.75
5529,6,2570.65,2581.625
5533,6,2590.3,2600.3333333333335
5535,6,2695.95,2716.5833333333335
5536,6,2602.85,2636.9166666666665
5550,6,2709.3,2726.875
5557,6,2574.5,2559.125
5558,6,2825.9,2821.0416666666665
5559,6,2677.6,2675.0
5565,6,2701.0,2696.2916666666665
5572,6,2560.85,2575.625
5573,6,2561.75,2559.75
5574,6,2618.9,2635.8333333333335
5581,6,2574.15,2578.9583333333335
5582,6,2611.5,2622.8333333333335
5583,6,2609.55,2605.2916666666665
5584,6,2623.35,2642.625
5589,6,2732.85,2742.4166666666665
5594,6,2388.0,2432.4583333333335
5632,6,2582.4,2585.4583333333335
5663,6,2447.25,2438.5416666666665
5675,6,2015.95,2030.75
5685,6,2187.4,2211.4166666666665
5696,6,2738.8,2798.7083333333335
5743,6,2343.2,2360.0416666666665
5763,6,2365.0,2395.4583333333335
5777,6,2473.55,2519.8333333333335
5780,6,2673.0,2675.9583333333335
5785,6,2557.0,2549.625
5793,6,2501.45,2532.9166666666665
5804,6,2514.7,2532.2916666666665
5807,6,2519.75,2525.7083333333335
5813,6,2622.15,2626.8333333333335
5823,6,2488.75,2467.7916666666665
5833,6,2462.2,2461.0833333333335
5836,6,2524.15,2545.8333333333335
5845,6,2394.1,2401.2083333333335
5847,6,2305.35,2307.125
5848,6,2336.75,2350.5
5849,6,2515.7,2547.25
5850,6,2410.9,2515.5
5851,6,2579.35,2618.2916666666665
5862,6,2698.9,2691.6666666666665
5874,6,2393.0,2411.9583333333335
5875,6,2914.95,2898.4166666666665
5878,6,2965.55,2973.5
5880,6,2793.8,2804.375
5904,6,2772.3,2786.25
5944,6,2561.55,2586.75
5950,6,2784.45,2781.7916666666665
5955,6,2820.8,2906.4583333333335
5962,6,2338.05,2351.625
5964,6,2309.25,2326.1666666666665
5965,6,2495.85,2517.9166666666665
5970,6,2371.75,2377.4166666666665
5972,6,2756.35,2708.5833333333335
5974,6,2683.25,2657.9166666666665
5979,6,2678.2,2682.9166666666665
5981,6,2745.2,2756.25
5986,6,2909.0,2838.4583333333335
5999,6,3385.05,3143.2916666666665
6001,6,3393.85,3405.7083333333335
6009,6,2692.05,2693.125
6016,6,2977.15,2989.5
6023,6,2256.2,2266.75
